Id,SalePrice
1461,116729.66099896787
1462,154928.61431060135
1463,188989.51369302397
1464,196604.2596201768
1465,212756.94821535962
1466,165314.45445835553
1467,170778.1134193685
1468,156503.21848136705
1469,210291.71487781263
1470,114524.39408892138
1471,155175.76495905968
1472,93474.45185643129
1473,89256.92200265276
1474,145928.9425237348
1475,85556.11747000541
1476,382811.9167175323
1477,260728.911499372
1478,319595.2364403793
1479,312308.2705902293
1480,450734.74407225824
1481,323894.4642205733
1482,210349.8984416226
1483,180962.3465806171
1484,159341.87087582788
1485,193943.4922621294
1486,192801.64026407647
1487,354877.3529813292
1488,232786.5437555401
1489,205458.98296759996
1490,256378.64074438906
1491,204652.11590306115
1492,104646.47813277625
1493,213320.88713161086
1494,318602.7977714087
1495,302870.57926692255
1496,245214.5544001214
1497,171996.48633235545
1498,180043.38385036925
1499,170112.17066247543
1500,155772.19413560934
1501,178080.35410878234
1502,125653.23179263063
1503,316698.18848447816
1504,233857.1446909482
1505,223312.30435828795
1506,190451.9855632391
1507,232280.8042661226
1508,200395.85504792604
1509,158320.24560971043
1510,146598.82910768854
1511,151633.81769083123
1512,169319.54628918975
1513,154729.8571632762
1514,165832.14625794798
1515,200904.77675200702
1516,162055.88420775867
1517,184742.11268588796
1518,123388.8034134414
1519,211755.91660970383
1520,114389.48423784932
1521,127589.44123282155
1522,191015.2668799979
1523,105514.86338368089
1524,123502.09354991038
1525,114255.60625092025
1526,100184.97864955931
1527,100102.43428007304
1528,124266.61430360397
1529,156905.28543092357
1530,195209.34910434714
1531,111070.15792995802
1532,88364.92572634722
1533,164070.92921729625
1534,129889.58734824692
1535,145931.92468071575
1536,99803.98881584856
1537,42818.03665288874
1538,167616.20519128797
1539,213643.63319129308
1540,113961.46680159499
1541,153735.72404600124
1542,166510.48813874737
1543,177318.36821805517
1544,78624.61733987773
1545,110699.87484074774
1546,158122.33761378255
1547,136536.3854960512
1548,148112.45514254618
1549,122184.63091894845
1550,150071.7067336585
1551,98318.95327322726
1552,138524.88431299012
1553,162650.46432900807
1554,99657.20765285895
1555,170260.05951046883
1556,64252.600072146044
1557,144529.7601773619
1558,105512.69764716152
1559,54081.97661369314
1560,117092.89209802826
1561,145501.37815471587
1562,131809.06968607972
1563,124577.9333045063
1564,154116.93488701773
1565,169464.57896507674
1566,242284.87682319267
1567,64795.92023026102
1568,228651.49480667038
1569,141080.4143565844
1570,133719.93212455665
1571,86555.0994955529
1572,142680.81081989888
1573,254103.21660691543
1574,140035.63066587626
1575,246760.45517550144
1576,233646.58991295207
1577,180775.5016697644
1578,157205.21807638032
1579,147145.9600133924
1580,193567.15028413097
1581,154976.99467067354
1582,132968.1391306335
1583,265521.7713373789
1584,209797.50823178308
1585,129773.08171137856
1586,54481.921061838715
1587,113330.4952117693
1588,156129.4002226464
1589,107229.50884891735
1590,117060.67472375014
1591,85666.76040704774
1592,127658.3993483836
1593,131393.17337444902
1594,125575.47737742399
1595,106984.18339934069
1596,216623.80240281954
1597,208950.97653181103
1598,225462.25233056795
1599,194351.13890026385
1600,177808.04332647592
1601,40549.05611134946
1602,131598.08313541976
1603,52917.018391508536
1604,272974.6192076382
1605,226136.36687607953
1606,144944.73251265308
1607,160035.07504770652
1608,209273.74743192125
1609,188343.71616989622
1610,160150.66307775205
1611,134374.5367950329
1612,189096.66496107954
1613,164306.02382394992
1614,138895.71126301502
1615,98260.90659751988
1616,71640.0680431315
1617,82340.87936898592
1618,125016.51675006389
1619,144169.8382123677
1620,154475.8417455747
1621,134346.65138527213
1622,147021.964799252
1623,256754.6546049134
1624,206471.34454078344
1625,115512.44919809012
1626,169355.2385547395
1627,191755.96103773327
1628,273454.6064387098
1629,187012.7383406954
1630,338638.1688653602
1631,261889.17726362622
1632,255516.35503229444
1633,178680.7698588981
1634,183882.45856404756
1635,169558.6829332358
1636,144712.29173791534
1637,192985.63756580398
1638,176028.03178933778
1639,181125.71565048027
1640,229791.05681101893
1641,183838.26355005775
1642,260788.4667969953
1643,215628.66330328697
1644,240535.99801277107
1645,197592.38207565524
1646,162589.94163274
1647,160358.22649018504
1648,126561.82583649835
1649,131328.61204353336
1650,101973.22496444483
1651,112972.54466656575
1652,94070.16843567578
1653,90573.34455461345
1654,140166.7621866789
1655,113309.78362569373
1656,145661.97437324794
1657,154565.38704698024
1658,150555.79009042995
1659,106785.73658409526
1660,152923.02313719512
1661,432586.3166385313
1662,365975.3448578437
1663,383365.31240390334
1664,486787.3528545506
1665,340654.4662421885
1666,329337.53906661225
1667,381737.0643081721
1668,375555.0182745155
1669,326520.70148799545
1670,377049.77613500133
1671,261121.41123311795
1672,373543.63595662697
1673,287384.4895341395
1674,241701.45474505957
1675,202859.38179621307
1676,207307.23251090109
1677,219649.4353389217
1678,447305.603568229
1679,378908.62607096345
1680,348382.2224869102
1681,292591.81180208165
1682,327470.43175457476
1683,182685.0915110673
1684,168535.8005224896
1685,172517.5606740411
1686,160479.65866184616
1687,167128.77758211756
1688,189503.89524847802
1689,189651.67215446534
1690,193419.34221912047
1691,183358.29898015043
1692,258745.19213919083
1693,176404.94853560583
1694,184053.73232357186
1695,166658.20419162628
1696,255577.17421084022
1697,174471.2483326151
1698,345066.2159598344
1699,337525.80534983776
1700,281318.1426644162
1701,292139.57930764207
1702,235118.6479105533
1703,232712.3971139553
1704,260388.8163450857
1705,253220.86863874705
1706,240706.74851066092
1707,230845.40545727502
1708,206025.52223032078
1709,253746.77842137832
1710,220127.40752980334
1711,280593.4267190171
1712,249529.02956385424
1713,277600.70596238144
1714,226872.3720240644
1715,213132.15035525162
1716,184699.00244671296
1717,174256.90261190326
1718,150129.59951350832
1719,233815.33793359678
1720,242319.58986341776
1721,150506.17599319396
1722,120201.99476347836
1723,153889.3735957838
1724,215948.44960720767
1725,233200.1522524468
1726,179374.75002906617
1727,156080.01005747012
